S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin,Link
1,Anakapalle(5),C.M.RAMESH,762069,296530,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S015.htm
2,Rajahmundry(8),DAGGUBATI PURANDHESHWARI,726515,239139,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S018.htm
3,Narsapuram(9),BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),707343,276802,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S019.htm
4,Arunachal West(1),KIREN RIJIJU,205417,100738,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S021.htm
5,Arunachal East(2),TAPIR GAO,145581,30421,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S022.htm
6,Darrang-Udalguri(4),DILIP SAIKIA,868387,329012,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S034.htm
7,Guwahati(5),BIJULI KALITA MEDHI,894887,251090,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S035.htm
8,Diphu(6),AMARSING TISSO,334620,147603,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S036.htm
9,Karimganj(7),KRIPANATH MALLAH,545093,18360,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S037.htm
10,Silchar (8),PARIMAL SUKLABAIDYA,652405,264311,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S038.htm
11,Kaziranga(10),KAMAKHYA PRASAD TASA,897043,248947,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S0310.htm
12,Sonitpur(11),RANJIT DUTTA,775788,361408,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S0311.htm
13,Lakhimpur(12),PRADAN BARUAH,663122,201257,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S0312.htm
14,Dibrugarh(13),SARBANANDA SONOWAL,693762,279321,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S0313.htm
15,Paschim Champaran(2),DR.SANJAY JAISWAL,580421,136568,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S042.htm
16,Purvi Champaran(3),RADHA MOHAN SINGH,542193,88287,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S043.htm
17,Madhubani(6),ASHOK KUMAR YADAV,553428,151945,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S046.htm
18,Araria(9),PRADEEP KUMAR SINGH,600146,20094,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S049.htm
19,Darbhanga(14),GOPAL JEE THAKUR,566630,178156,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S0414.htm
20,Muzaffarpur(15),RAJ BHUSHAN CHOUDHARY,619749,234927,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S0415.htm
21,Maharajganj(19),"JANARDAN SINGH ""SIGRIWAL""",529533,102651,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S0419.htm
22,Saran(20),RAJIV PRATAP RUDY,471752,13661,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S0420.htm
23,Ujiarpur(22),NITYANAND RAI,515965,60102,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S0422.htm
24,Begusarai(24),GIRIRAJ SINGH,649331,81480,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S0424.htm
25,Patna Sahib(30),RAVI SHANKAR PRASAD,588270,153846,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S0430.htm
